"CE2_R_11_3021"	"CE2_R_11_3039"	"CGY_HR_074"	"CGY_HR_076"	"CI_0532"	"07_0971"	"08_4460"	"08_4461"	"08_4466"	"08_4468"	"08_4472"	"08_4474"	"08_4603"	"CA99CN070038"	"CE_R2_11_0350"	"CGY_HR_080"	"CGY_HR_170"	"CI_0136"	"CI_0165"	"CI_0168"	"07_6215"	"CE_R_11_0114"	"CGY_HR_082"	"CGY_HR_083"	"CI_3074"	"CI_3252"	"06_3783"	"06_6554"	"06_7656"	"07_5425"	"CE_M_10_2090"	"CE_R_11_0270"	"CE2_R_11_3009"	"CGY_HR_174"	"CI_2004"	"CI_2009"	"CI_2705"	"CI_4108"	"CI_4353"	"CI_4356"	"CI_4360"	"CI_4378"	"CI_4383"	"CI_4395"	"CI_4411"	"CI_4424"	"CI_4428"	"CI_4447"	"CI_4458"	"CI_4835"	"CI_4909"	"06_3851"	"06_3852"	"07_0549"	"07_5581"	"CE2_R2_11_1006"	"CE2_R2_11_2018"	"CE2_R2_11_2022"	"CI_0677"	"CI_0685"	"CI_3609"	"CI_4864"	"06_3245"	"07_1009"	"07_3508"	"07_5583"	"CE_M_09_1073"	"CE_M_10_2108"	"CE_M_10_2113"	"CE2_R_11_3131"	"CHR_119"	"CI_0697"	"CI_0699"	"CI_0955"	"CI_1636"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_3889"	"CI_5265"	"06_7331"	"07_2174"	"07_4428"	"08_1700"	"08_4696"	"08_4697"	"08_6877"	"CE_M_10_4053"	"CE_M_10_4054"	"CI_1915"	"CE_R2_11_0134"	"CGY_HR_090"	"CHR_026"	"CI_0182"	"CI_5889"	"CI_5906"	"CI_5943"	"CI_5947"	"08_1714"	"CE_R_11_0170"	"CE_R_11_0178"	"CI_2989"	"CI_2991"	"CI_5692"	"06_4734"	"07_3647"	"07_7314"	"CE2_R2_11_1009"	"CI_0405"	"CI_1109"	"CI_1117"	"07_7331"	"CI_2055"	"CI_2061"	"08_5603"	"08_7016"	"CE_R_11_0192"	"CE2_R_11_3113"	"CE2_R2_11_3081"	"CE2_R2_11_3085"	"CGY_HR_098"	"CHR_028"	"CI_0322"	"CI_0325"	"06_5790"	"07_0675"	"CE_R_11_0251"	"CHR_053"	"CI_1653"	"CI_3290"	"CI_4990"	"CI_5292"	"CGY_HR_009"	"CGY_HR_101"	"CGY_HR_103"	"CI_0292"	"CI_2605"	"06_4911"	"08_4913"	"08_5925"	"CE_M_10_3107"	"CE_R_10_0273"	"CE2_R_11_3035"	"CE2_R2_11_3019"	"CE2_R2_11_3023"	"CI_0609"	"CI_0765"	"CI_0783"	"CI_1845"	"CI_2840"	"CI_3421"	"CI_4071"	"CI_4079"	"CI_4102"	"07_3853"	"08_0094"	"08_0096"	"CHR_127"	"CI_0094"	"CI_2423"	"CI_2439"	"07_1875"	"08_7017"	"CI_0884"	"CI_0893"	"CI_0898"	"CI_0927"	"CI_2950"	"CI_3943"	"06_5176"	"08_1709"	"08_1711"	"CGY_HR_013"	"CGY_HR_108"	"CGY_HR_109"	"CI_2864"	"06_3569"	"06_6211"	"07_3238"	"CE_M_09_3054"	"CE_R_11_0100"	"CE2_R2_11_1027"	"CE2_R2_11_1033"	"CI_0450"	"CI_0453"	"CI_0458"	"CI_3036"	"CI_3043"	"CI_3299"	"CI_3643"	"CI_5300"	"CI_5997"	"07_4076"	"07_5038"	"CE_M_09_3081"	"CE_M_10_4091"	"CHR_022"	"CI_1092"	"CI_1096"	"CI_1920"	"07_5039"	"07_5041"	"08_0099"	"CE_M_09_4099"	"CGY_HR_020"	"CGY_HR_118"	"CHR_023"	"CI_0334"	"CI_0346"	"CI_1660"	"CI_5198"	"CI_5245"	"06_3849"	"08_5176"	"08_6160"	"CE_R_11_0077"	"CGY_HR_058"	"CI_0973"	"CI_0987"	"06_7515"	"07_6017"	"08_0100"	"08_7039"	"CE_R2_11_0374"	"CE2_R_11_1063"	"CGY_HR_022"	"06_6212"	"CHR_130"	"CI_1799"	"CI_5034"	"CI_5328"	"CI_5357"	"06_7585"	"07_6066"	"CGY_HR_061"	"CI_0918"	"06_2866"	"08_4456"	"CGY_HR_026"	"CHR_090"	"CHR_151"	"CI_1943"	"CI_2328"	"CI_4806"	"06_2855"	"CE_M_09_2085"	"CGY_HR_139"	"CGY_HR_140"	"CHR_159"	"CI_2651"	"CI_2695"	"CI_3986"	"07_7324"	"08_5490"	"08_6208"	"CGY_HR_027"	"CI_0392"	"CI_0637"	"CI_1415"	"CI_1964"	"CI_1969"	"CI_3856"	"CI_3879"	"06_7332"	"07_1493"	"CE_M_10_2096"	"CE_M_10_3062"	"CE_R_10_0305"	"CE_R_10_0306"	"CI_0662"	"CI_1874"	"CI_1875"	"CI_1884"	"CI_5254"	"CI_5429"	"07_2680"	"CE_R_11_0238"	"CE_R_11_0240"	"CI_2230"	"CI_2499"	"CI_2510"	"07_4268"	"07_4269"	"07_5321"	"CGY_HR_073"	"CI_3812"	"CGY_HR_121"
"07_2174"	0.725	0.625	0.675	0.85	0.7	0.55	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.6	0.55	0.55	0.875	0.725	0.55	0.625	0.775	0.6	0.875	0.725	0.725	0.675	0.675	0.675	0.85	0.7	0.625	0.725	0.875	0.7	0.675	0.675	0.7	0.75	0.75	0.55	0.725	0.55	0.75	0.725	0.525	0.525	0.725	0.525	0.75	0.625	0.625	0.675	0.675	0.75	0.725	0.725	0.875	0.65	0.875	0.875	0.675	0.625	0.55	0.625	0.675	0.725	0.55	1	1	0.6	0.75	0.7	0.725	0.65	0.7	0.725	0.7	0.625	0.675	0.75	0.85	1	0.725	0.75	0.7	0.7	0.725	0.7	0.7	0.6	0.675	0.875	1	0.625	0.75	0.725	0.75	0.75	0.7	0.875	0.625	0.625	0.625	0.75	1	0.725	0.625	0.6	0.55	0.625	0.625	0.7	0.725	0.725	0.7	0.725	0.625	0.675	0.875	0.875	0.875	0.725	0.6	1	0.725	0.75	0.6	0.75	0.7	0.625	0.525	0.75	0.75	0.675	0.6	0.75	0.7	0.725	0.625	0.7	0.775	0.75	0.675	0.675	0.625	0.625	0.7	0.75	0.525	0.6	0.55	0.625	0.7	0.7	0.725	0.725	0.675	0.775	0.55	0.625	0.625	0.6	0.725	0.55	0.675	0.675	0.75	0.675	0.525	0.675	0.675	0.675	0.7	1	0.7	0.6	0.55	1	0.7	1	0.725	0.625	0.625	0.725	0.725	0.725	0.675	0.725	0.625	0.625	0.75	0.7	0.725	0.7	0.55	0.725	0.75	0.675	1	0.725	0.675	0.775	0.55	0.7	0.75	0.725	0.75	0.75	0.775	0.525	0.625	0.75	0.675	0.725	0.725	0.625	0.75	1	0.7	0.6	0.7	0.675	0.7	0.625	0.55	0.55	0.675	1	0.7	0.675	0.7	0.7	0.675	0.7	0.85	0.75	0.725	0.7	0.65	0.525	0.7	0.725	0.675	0.625	0.775	0.75	0.7	0.65	0.675	0.625	0.725	0.7	0.9	0.625	0.7	0.725	0.625	0.65	0.675	0.7	0.7	0.525	0.625	0.725	0.55	1	0.55	0.675	0.675	0.725	0.75	0.55	0.525	0.75	0.7	0.9	0.7	0.625	0.525	0.625	0.7	0.75	0.55	0.75	0.675	0.525	0.7
"07_4428"	1	0.35	0.55	0.825	0.425	0.425	0.425	0.425	0.425	0.425	0.425	0.425	0.425	0.475	0.275	0.475	0.75	1	0.475	0.35	0.8	0.325	0.75	0.9	0.45	0.4	0.55	0.55	0.825	0.975	0.35	0.95	0.75	0.975	0.4	0.4	0.425	0.875	0.875	0.475	0.9	0.475	0.625	0.9	0.45	0.45	0.9	0.45	0.625	0.35	0.35	0.55	0.55	0.475	1	0.45	0.75	0.375	0.75	0.75	0.4	0.35	0.425	0.35	0.4	1	0.475	0.725	0.725	0.325	0.875	0.425	0.45	0.575	0.425	0.45	0.425	0.35	0.55	0.875	0.825	0.725	1	0.625	0.425	0.425	0.45	0.975	0.975	0.325	0.4	0.75	0.725	0.35	0.625	1	0.625	0.625	0.975	0.75	0.35	0.35	0.35	0.625	0.725	0.45	0.35	0.325	0.425	0.35	0.35	0.975	0.45	0.45	0.975	0.45	0.35	0.4	0.75	0.75	0.75	1	0.325	0.725	0.95	0.475	0.325	0.625	0.425	0.35	0.25	0.875	0.625	0.4	0.325	0.625	0.425	0.45	0.35	0.975	0.65	0.875	0.4	0.4	0.35	0.35	0.425	0.875	0.25	0.325	0.425	0.35	0.425	0.425	0.45	0.45	0.4	0.85	0.425	0.35	0.35	0.475	0.45	0.425	0.55	0.55	0.625	0.4	0.25	0.4	0.55	0.55	0.875	0.725	0.975	0.475	0.425	0.725	0.975	0.725	0.45	0.35	0.35	0.45	0.45	0.45	0.4	0.45	0.35	0.35	0.875	0.875	0.45	0.975	0.475	0.9	0.875	0.4	0.725	0.45	0.55	0.8	0.275	0.875	0.625	0.45	0.875	0.625	0.8	0.25	0.35	0.875	0.55	0.45	0.45	0.35	0.625	0.725	0.975	0.475	0.975	0.4	0.975	0.35	0.275	0.475	0.4	0.725	0.425	0.4	0.975	0.975	0.4	0.975	0.825	0.875	0.45	0.425	0.375	0.45	0.975	0.45	0.4	0.35	0.85	0.875	0.975	0.375	0.4	0.35	0.45	0.425	0.775	0.35	0.975	0.9	0.35	0.375	0.55	0.975	0.975	0.25	0.35	0.95	0.425	0.725	0.275	0.4	0.4	0.45	0.625	0.475	0.45	0.875	0.975	0.775	0.875	0.35	0.25	0.35	0.425	0.625	0.275	0.625	0.55	0.25	0.875
"08_1700"	0.625	0.575	0.725	0.6	0.7	0.75	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.6	0.5	0.625	0.625	0.5	0.625	0.775	0.55	0.625	0.675	0.625	0.675	0.725	0.725	0.6	0.65	0.575	0.675	0.625	0.65	0.675	0.675	0.7	0.7	0.7	0.5	0.675	0.5	1	0.675	0.475	0.475	0.675	0.475	1	0.725	0.725	0.725	0.725	0.65	0.625	0.625	0.625	0.65	0.625	0.625	0.675	0.725	0.75	0.725	0.625	0.625	0.5	0.75	0.75	0.55	0.7	0.7	0.625	0.5	0.7	0.625	0.7	0.525	0.725	0.7	0.6	0.75	0.625	1	0.6	0.6	0.625	0.65	0.65	0.55	0.575	0.625	0.75	0.625	1	0.625	1	1	0.65	0.625	0.625	0.525	0.525	1	0.75	0.625	0.725	0.55	0.75	0.625	0.625	0.65	0.625	0.625	0.65	0.625	0.625	0.675	0.625	0.625	0.625	0.625	0.55	0.75	0.675	0.65	0.55	1	0.7	0.625	0.575	0.7	1	0.675	0.55	1	0.7	0.625	0.625	0.65	0.725	0.7	0.675	0.575	0.575	0.725	0.7	0.7	0.575	0.55	0.75	0.625	0.7	0.7	0.625	0.625	0.625	0.725	0.75	0.525	0.625	0.8	0.625	0.75	0.725	0.725	1	0.675	0.575	0.675	0.725	0.725	0.65	0.75	0.65	0.8	0.75	0.75	0.65	0.75	0.625	0.625	0.625	0.625	0.625	0.625	0.675	0.625	0.625	0.625	0.7	0.65	0.625	0.65	0.5	0.675	0.7	0.675	0.75	0.625	0.725	0.775	0.6	0.65	1	0.625	0.7	1	0.775	0.575	0.625	0.7	0.725	0.625	0.625	0.575	1	0.75	0.65	0.8	0.65	0.625	0.65	0.725	0.6	0.5	0.675	0.75	0.7	0.675	0.65	0.65	0.675	0.65	0.6	0.7	0.625	0.6	0.65	0.475	0.65	0.625	0.675	0.625	0.725	0.7	0.65	0.65	0.675	0.625	0.625	0.7	0.65	0.625	0.65	0.675	0.625	0.65	0.725	0.65	0.65	0.575	0.625	0.675	0.75	0.75	0.5	0.675	0.675	0.625	1	0.5	0.475	0.7	0.65	0.65	0.65	0.725	0.575	0.725	0.7	1	0.6	1	0.725	0.575	0.65
"08_4696"	0.425	0.825	0.675	0.6	0.75	0.65	1	1	1	1	1	1	1	0.7	0.75	0.6	0.675	0.425	0.6	0.825	0.575	0.8	0.675	0.525	0.775	0.725	0.675	0.675	0.6	0.45	0.825	0.475	0.675	0.45	0.725	0.725	0.75	0.55	0.55	0.6	0.525	0.6	0.6	0.525	0.625	0.625	0.525	0.625	0.6	0.875	0.875	0.675	0.675	0.8	0.425	0.975	0.675	0.9	0.675	0.675	0.725	0.875	0.65	0.875	0.825	0.425	0.6	0.7	0.7	0.8	0.55	0.75	0.775	0.65	0.75	0.775	0.75	0.775	0.675	0.55	0.6	0.7	0.425	0.6	1	1	0.975	0.45	0.45	0.8	0.925	0.675	0.7	0.825	0.6	0.425	0.6	0.6	0.45	0.675	0.875	0.775	0.775	0.6	0.7	0.975	0.875	0.8	0.65	0.875	0.875	0.45	0.975	0.975	0.45	0.975	0.875	0.925	0.675	0.675	0.675	0.425	0.8	0.7	0.475	0.8	0.8	0.6	0.75	0.825	0.675	0.55	0.6	0.925	0.8	0.6	0.75	0.975	0.875	0.45	0.625	0.55	0.925	0.925	0.825	0.875	0.75	0.55	0.675	0.8	0.65	0.875	0.75	0.75	0.975	0.975	0.825	0.575	0.65	0.775	0.875	0.7	0.975	0.65	0.675	0.675	0.6	0.725	0.675	0.925	0.675	0.675	0.5	0.7	0.45	0.7	0.65	0.7	0.45	0.7	0.975	0.875	0.875	0.775	0.775	0.775	0.725	0.775	0.825	0.875	0.55	0.5	0.975	0.45	0.6	0.525	0.55	0.925	0.7	0.975	0.675	0.575	0.75	0.5	0.6	0.975	0.55	0.6	0.575	0.675	0.875	0.55	0.675	0.975	0.975	0.825	0.6	0.7	0.45	0.7	0.45	0.825	0.45	0.875	0.75	0.6	0.925	0.7	0.75	0.725	0.45	0.45	0.925	0.45	0.6	0.55	0.975	1	0.9	0.625	0.45	0.975	0.725	0.875	0.575	0.55	0.45	0.9	0.925	0.875	0.775	0.75	0.65	0.875	0.45	0.525	0.825	0.9	0.675	0.45	0.45	0.675	0.875	0.475	0.65	0.7	0.75	0.925	0.925	0.775	0.6	0.6	0.625	0.55	0.45	0.65	0.5	0.875	0.675	0.875	0.75	0.6	0.75	0.6	0.675	0.675	0.5
"08_4697"	0.425	0.825	0.675	0.6	0.75	0.65	1	1	1	1	1	1	1	0.7	0.75	0.6	0.675	0.425	0.6	0.825	0.575	0.8	0.675	0.525	0.775	0.725	0.675	0.675	0.6	0.45	0.825	0.475	0.675	0.45	0.725	0.725	0.75	0.55	0.55	0.6	0.525	0.6	0.6	0.525	0.625	0.625	0.525	0.625	0.6	0.875	0.875	0.675	0.675	0.8	0.425	0.975	0.675	0.9	0.675	0.675	0.725	0.875	0.65	0.875	0.825	0.425	0.6	0.7	0.7	0.8	0.55	0.75	0.775	0.65	0.75	0.775	0.75	0.775	0.675	0.55	0.6	0.7	0.425	0.6	1	1	0.975	0.45	0.45	0.8	0.925	0.675	0.7	0.825	0.6	0.425	0.6	0.6	0.45	0.675	0.875	0.775	0.775	0.6	0.7	0.975	0.875	0.8	0.65	0.875	0.875	0.45	0.975	0.975	0.45	0.975	0.875	0.925	0.675	0.675	0.675	0.425	0.8	0.7	0.475	0.8	0.8	0.6	0.75	0.825	0.675	0.55	0.6	0.925	0.8	0.6	0.75	0.975	0.875	0.45	0.625	0.55	0.925	0.925	0.825	0.875	0.75	0.55	0.675	0.8	0.65	0.875	0.75	0.75	0.975	0.975	0.825	0.575	0.65	0.775	0.875	0.7	0.975	0.65	0.675	0.675	0.6	0.725	0.675	0.925	0.675	0.675	0.5	0.7	0.45	0.7	0.65	0.7	0.45	0.7	0.975	0.875	0.875	0.775	0.775	0.775	0.725	0.775	0.825	0.875	0.55	0.5	0.975	0.45	0.6	0.525	0.55	0.925	0.7	0.975	0.675	0.575	0.75	0.5	0.6	0.975	0.55	0.6	0.575	0.675	0.875	0.55	0.675	0.975	0.975	0.825	0.6	0.7	0.45	0.7	0.45	0.825	0.45	0.875	0.75	0.6	0.925	0.7	0.75	0.725	0.45	0.45	0.925	0.45	0.6	0.55	0.975	1	0.9	0.625	0.45	0.975	0.725	0.875	0.575	0.55	0.45	0.9	0.925	0.875	0.775	0.75	0.65	0.875	0.45	0.525	0.825	0.9	0.675	0.45	0.45	0.675	0.875	0.475	0.65	0.7	0.75	0.925	0.925	0.775	0.6	0.6	0.625	0.55	0.45	0.65	0.5	0.875	0.675	0.875	0.75	0.6	0.75	0.6	0.675	0.675	0.5
"08_6877"	0.45	0.85	0.7	0.625	0.775	0.675	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.725	0.775	0.625	0.7	0.45	0.625	0.85	0.6	0.825	0.7	0.55	0.8	0.75	0.7	0.7	0.625	0.475	0.85	0.5	0.7	0.475	0.75	0.75	0.775	0.575	0.575	0.625	0.55	0.625	0.625	0.55	0.65	0.65	0.55	0.65	0.625	0.9	0.9	0.7	0.7	0.825	0.45	1	0.7	0.925	0.7	0.7	0.75	0.9	0.675	0.9	0.85	0.45	0.625	0.725	0.725	0.825	0.575	0.775	0.8	0.675	0.775	0.8	0.775	0.8	0.7	0.575	0.625	0.725	0.45	0.625	0.975	0.975	1	0.475	0.475	0.825	0.95	0.7	0.725	0.85	0.625	0.45	0.625	0.625	0.475	0.7	0.9	0.8	0.8	0.625	0.725	1	0.9	0.825	0.675	0.9	0.9	0.475	1	1	0.475	1	0.9	0.95	0.7	0.7	0.7	0.45	0.825	0.725	0.5	0.825	0.825	0.625	0.775	0.85	0.7	0.575	0.625	0.95	0.825	0.625	0.775	1	0.9	0.475	0.65	0.575	0.95	0.95	0.85	0.9	0.775	0.575	0.7	0.825	0.675	0.9	0.775	0.775	1	1	0.85	0.6	0.675	0.8	0.9	0.725	1	0.675	0.7	0.7	0.625	0.75	0.7	0.95	0.7	0.7	0.525	0.725	0.475	0.725	0.675	0.725	0.475	0.725	1	0.9	0.9	0.8	0.8	0.8	0.75	0.8	0.85	0.9	0.575	0.525	1	0.475	0.625	0.55	0.575	0.95	0.725	1	0.7	0.6	0.775	0.525	0.625	1	0.575	0.625	0.6	0.7	0.9	0.575	0.7	1	1	0.85	0.625	0.725	0.475	0.725	0.475	0.85	0.475	0.9	0.775	0.625	0.95	0.725	0.775	0.75	0.475	0.475	0.95	0.475	0.625	0.575	1	0.975	0.925	0.65	0.475	1	0.75	0.9	0.6	0.575	0.475	0.925	0.95	0.9	0.8	0.775	0.675	0.9	0.475	0.55	0.85	0.925	0.7	0.475	0.475	0.7	0.9	0.5	0.675	0.725	0.775	0.95	0.95	0.8	0.625	0.625	0.65	0.575	0.475	0.675	0.525	0.9	0.7	0.9	0.775	0.625	0.775	0.625	0.7	0.7	0.525
"CE_M_10_4053"	0.975	0.375	0.575	0.8	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.5	0.3	0.5	0.725	0.975	0.5	0.375	0.825	0.35	0.725	0.925	0.475	0.425	0.575	0.575	0.8	1	0.375	0.925	0.725	1	0.425	0.425	0.45	0.85	0.85	0.5	0.925	0.5	0.65	0.925	0.475	0.475	0.925	0.475	0.65	0.375	0.375	0.575	0.575	0.5	0.975	0.475	0.725	0.4	0.725	0.725	0.425	0.375	0.45	0.375	0.425	0.975	0.5	0.7	0.7	0.35	0.85	0.45	0.475	0.6	0.45	0.475	0.45	0.375	0.575	0.85	0.8	0.7	0.975	0.65	0.45	0.45	0.475	1	1	0.35	0.425	0.725	0.7	0.375	0.65	0.975	0.65	0.65	1	0.725	0.375	0.375	0.375	0.65	0.7	0.475	0.375	0.35	0.45	0.375	0.375	1	0.475	0.475	1	0.475	0.375	0.425	0.725	0.725	0.725	0.975	0.35	0.7	0.925	0.5	0.35	0.65	0.45	0.375	0.275	0.85	0.65	0.425	0.35	0.65	0.45	0.475	0.375	1	0.675	0.85	0.425	0.425	0.375	0.375	0.45	0.85	0.275	0.35	0.45	0.375	0.45	0.45	0.475	0.475	0.425	0.875	0.45	0.375	0.375	0.5	0.475	0.45	0.575	0.575	0.65	0.425	0.275	0.425	0.575	0.575	0.9	0.7	1	0.5	0.45	0.7	1	0.7	0.475	0.375	0.375	0.475	0.475	0.475	0.425	0.475	0.375	0.375	0.85	0.9	0.475	1	0.5	0.925	0.85	0.425	0.7	0.475	0.575	0.825	0.3	0.9	0.65	0.475	0.85	0.65	0.825	0.275	0.375	0.85	0.575	0.475	0.475	0.375	0.65	0.7	1	0.5	1	0.425	1	0.375	0.3	0.5	0.425	0.7	0.45	0.425	1	1	0.425	1	0.8	0.85	0.475	0.45	0.4	0.475	1	0.475	0.425	0.375	0.875	0.85	1	0.4	0.425	0.375	0.475	0.45	0.75	0.375	1	0.925	0.375	0.4	0.575	1	1	0.275	0.375	0.925	0.45	0.7	0.3	0.425	0.425	0.475	0.65	0.5	0.475	0.85	1	0.75	0.9	0.375	0.275	0.375	0.45	0.65	0.3	0.65	0.575	0.275	0.9
"CE_M_10_4054"	0.975	0.375	0.575	0.8	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.5	0.3	0.5	0.725	0.975	0.5	0.375	0.825	0.35	0.725	0.925	0.475	0.425	0.575	0.575	0.8	1	0.375	0.925	0.725	1	0.425	0.425	0.45	0.85	0.85	0.5	0.925	0.5	0.65	0.925	0.475	0.475	0.925	0.475	0.65	0.375	0.375	0.575	0.575	0.5	0.975	0.475	0.725	0.4	0.725	0.725	0.425	0.375	0.45	0.375	0.425	0.975	0.5	0.7	0.7	0.35	0.85	0.45	0.475	0.6	0.45	0.475	0.45	0.375	0.575	0.85	0.8	0.7	0.975	0.65	0.45	0.45	0.475	1	1	0.35	0.425	0.725	0.7	0.375	0.65	0.975	0.65	0.65	1	0.725	0.375	0.375	0.375	0.65	0.7	0.475	0.375	0.35	0.45	0.375	0.375	1	0.475	0.475	1	0.475	0.375	0.425	0.725	0.725	0.725	0.975	0.35	0.7	0.925	0.5	0.35	0.65	0.45	0.375	0.275	0.85	0.65	0.425	0.35	0.65	0.45	0.475	0.375	1	0.675	0.85	0.425	0.425	0.375	0.375	0.45	0.85	0.275	0.35	0.45	0.375	0.45	0.45	0.475	0.475	0.425	0.875	0.45	0.375	0.375	0.5	0.475	0.45	0.575	0.575	0.65	0.425	0.275	0.425	0.575	0.575	0.9	0.7	1	0.5	0.45	0.7	1	0.7	0.475	0.375	0.375	0.475	0.475	0.475	0.425	0.475	0.375	0.375	0.85	0.9	0.475	1	0.5	0.925	0.85	0.425	0.7	0.475	0.575	0.825	0.3	0.9	0.65	0.475	0.85	0.65	0.825	0.275	0.375	0.85	0.575	0.475	0.475	0.375	0.65	0.7	1	0.5	1	0.425	1	0.375	0.3	0.5	0.425	0.7	0.45	0.425	1	1	0.425	1	0.8	0.85	0.475	0.45	0.4	0.475	1	0.475	0.425	0.375	0.875	0.85	1	0.4	0.425	0.375	0.475	0.45	0.75	0.375	1	0.925	0.375	0.4	0.575	1	1	0.275	0.375	0.925	0.45	0.7	0.3	0.425	0.425	0.475	0.65	0.5	0.475	0.85	1	0.75	0.9	0.375	0.275	0.375	0.45	0.65	0.3	0.65	0.575	0.275	0.9
"CI_1915"	0.325	0.925	0.575	0.5	0.8	0.6	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.65	0.85	0.55	0.575	0.325	0.55	0.875	0.475	1	0.575	0.425	0.725	0.775	0.575	0.575	0.5	0.35	0.925	0.375	0.575	0.35	0.775	0.775	0.8	0.45	0.45	0.55	0.425	0.55	0.55	0.425	0.575	0.575	0.425	0.575	0.55	0.825	0.825	0.575	0.575	0.75	0.325	0.825	0.575	0.85	0.575	0.575	0.775	0.825	0.6	0.825	0.925	0.325	0.55	0.6	0.6	1	0.45	0.8	0.725	0.5	0.8	0.725	0.8	0.775	0.575	0.45	0.5	0.6	0.325	0.55	0.8	0.8	0.825	0.35	0.35	1	0.875	0.575	0.6	0.875	0.55	0.325	0.55	0.55	0.35	0.575	0.925	0.775	0.775	0.55	0.6	0.825	0.825	1	0.6	0.925	0.925	0.35	0.825	0.825	0.35	0.825	0.925	0.875	0.575	0.575	0.575	0.325	1	0.6	0.375	0.75	1	0.55	0.8	0.875	0.875	0.45	0.55	0.875	1	0.55	0.8	0.825	0.925	0.35	0.575	0.45	0.875	0.875	0.925	0.825	0.8	0.45	0.875	1	0.6	0.925	0.8	0.8	0.825	0.825	0.925	0.475	0.6	0.775	0.925	0.65	0.825	0.6	0.575	0.575	0.55	0.775	0.875	0.875	0.575	0.575	0.4	0.6	0.35	0.65	0.6	0.6	0.35	0.6	0.825	0.925	0.925	0.725	0.725	0.725	0.775	0.725	0.875	0.925	0.45	0.4	0.825	0.35	0.55	0.425	0.45	0.875	0.6	0.825	0.575	0.475	0.85	0.4	0.55	0.825	0.45	0.55	0.475	0.875	0.925	0.45	0.575	0.825	0.825	0.925	0.55	0.6	0.35	0.65	0.35	0.925	0.35	0.825	0.85	0.55	0.875	0.6	0.8	0.775	0.35	0.35	0.875	0.35	0.5	0.45	0.825	0.8	0.85	0.575	0.35	0.825	0.775	0.925	0.475	0.45	0.35	0.85	0.875	0.925	0.725	0.8	0.55	0.925	0.35	0.425	0.875	0.85	0.575	0.35	0.35	0.875	0.925	0.375	0.6	0.6	0.95	0.875	0.875	0.725	0.55	0.55	0.575	0.45	0.35	0.55	0.4	0.825	0.875	0.825	0.8	0.55	0.85	0.55	0.575	0.875	0.4
"CE_R2_11_0134"	0.4	0.8	0.65	0.575	0.825	0.625	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.675	0.725	0.575	0.65	0.4	0.575	0.9	0.55	0.875	0.65	0.5	0.85	0.8	0.65	0.65	0.575	0.425	0.8	0.45	0.65	0.425	0.8	0.8	0.825	0.525	0.525	0.575	0.5	0.575	0.575	0.5	0.6	0.6	0.5	0.6	0.575	0.85	0.85	0.65	0.65	0.875	0.4	0.95	0.65	0.875	0.65	0.65	0.8	0.85	0.625	0.85	0.8	0.4	0.575	0.675	0.675	0.875	0.525	0.825	0.85	0.625	0.825	0.85	0.825	0.85	0.65	0.525	0.575	0.675	0.4	0.575	0.925	0.925	0.95	0.425	0.425	0.875	1	0.65	0.675	0.9	0.575	0.4	0.575	0.575	0.425	0.65	0.95	0.85	0.85	0.575	0.675	0.95	0.85	0.875	0.625	0.95	0.95	0.425	0.95	0.95	0.425	0.95	0.95	0.9	0.65	0.65	0.65	0.4	0.875	0.675	0.45	0.875	0.875	0.575	0.825	0.9	0.75	0.525	0.575	0.9	0.875	0.575	0.825	0.95	0.95	0.425	0.6	0.525	0.9	1	0.8	0.85	0.825	0.525	0.75	0.875	0.625	0.95	0.825	0.825	0.95	0.95	0.8	0.55	0.625	0.85	0.95	0.675	0.95	0.625	0.65	0.65	0.575	0.8	0.75	0.9	0.65	0.65	0.475	0.675	0.425	0.675	0.625	0.675	0.425	0.675	0.95	0.95	0.95	0.85	0.85	0.85	0.8	0.85	0.9	0.95	0.525	0.475	0.95	0.425	0.575	0.5	0.525	0.9	0.675	0.95	0.65	0.55	0.725	0.475	0.575	0.95	0.525	0.575	0.55	0.75	0.95	0.525	0.65	0.95	0.95	0.8	0.575	0.675	0.425	0.675	0.425	0.8	0.425	0.85	0.725	0.575	0.9	0.675	0.825	0.8	0.425	0.425	0.9	0.425	0.575	0.525	0.95	0.925	0.875	0.6	0.425	0.95	0.8	0.95	0.55	0.525	0.425	0.875	0.9	0.95	0.85	0.825	0.625	0.95	0.425	0.5	0.9	0.875	0.65	0.425	0.425	0.75	0.95	0.45	0.625	0.675	0.825	0.9	0.9	0.85	0.575	0.575	0.6	0.525	0.425	0.625	0.475	0.85	0.75	0.85	0.825	0.575	0.725	0.575	0.65	0.75	0.475
